STRING ID,DESCRIPTION,ENGLISH,FRENCH / FRANÇAIS,SPANISH / ESPAÑOL,GERMAN / DEUTSCH,ITALIAN / ITALIANO,PORTUGUESE / PORTUGUÊS (BR),PORTUGUESE / PORTUGUÊS (PT),RUSSIAN / РУССКИЙ,GREEK / ΕΛΛΗΝΙΚΑ,TURKISH / TÜRKÇE,DANISH / DANSK,NORWEGIAN (NB) / NORSK BOKMÅL,SWEDISH / SVENSKA,DUTCH / NEDERLANDS,POLISH / POLSKI,FINNISH / SUOMI,JAPANESE / 日本語,SIMPLIFIED CHINESE / 简体中文,TRADITIONAL CHINESE / 繁体中文,KOREAN / 한국어,CZECH / ČEŠTINA,HUNGARIAN / MAGYAR,ROMANIAN / ROMÂNĂ,THAI / ภาษาไทย,BULGARIAN / БЪЛГАРСКИ,עברית / HEBREW,العربية / ARABIC,BOSNIAN
AGREE_TO_PRIVACY_POLICY_LABEL,,By clicking Continue you are agreeing to our privacy policy.,"En sélectionnant Continuer, vous acceptez notre Politique de confidentialité.","Al hacer clic en Continuar, aceptas nuestra política de privacidad.","Indem du auf „Fortfahren“ klickst, stimmst du unserer Datenschutzrichtlinie zu.",,,,,,,,,,,,,コンティニューをクリックすると、プライバシーポリシーに同意したとみなされます。,,,계속 버튼을 클릭하면 당사의 개인정보 취급방침에 동의하는 것으로 간주합니다.,,,,,,,,
LEADERBOARDS_NOT_INITIALIZED_ERROR,,Not initialized.,Initialisation échouée.,No se ha inicializado.,Nicht initialisiert.,,,,,,,,,,,,,初期化されていません。,,,개시되지 않았습니다.,,,,,,,,
LEADERBOARDS_SOMETHING_WENT_WRONG_ERROR,,Oops something went wrong.,Une erreur s'est produite.,"Vaya, algo salió mal.","Hoppla, ein Fehler ist aufgetreten.",,,,,,,,,,,,,エラーが発生しました。,,,죄송합니다. 문제가 발생했습니다.,,,,,,,,
LEADERBOARDS_PLATFORM_SERVICES_ERROR,,"Leaderboards not available.
Probably you are not signed in or your use of online features is restricted.","Les classements sont indisponibles.
Vous n'êtes peut-être pas connecté(e) ou votre utilisation des fonctionnalités en ligne est restreinte.","Las tablas de puntuaciones no están disponibles.
Probablemente no estés inscrito o se haya restringido tu uso de las funciones en línea.","Bestenlisten nicht verfügbar.
Du bist wahrscheinlich nicht angemeldet oder die Verwendung von Onlinefunktionen ist eingeschränkt.",,,,,,,,,,,,,"ランキングを使用できません。
サインインしていないか、オンライン機能の使用が制限されています。",,,"리더보드에 접속을 할 수 없습니다.
로그인하지 않았거나 온라인 사용 기능이 제한되어있을 수 있습니다.",,,,,,,,
LEADERBOARDS_NO_MODIFIERS_TITLE,,Top without modifiers,Podium sans modificateurs,Mejores sin modificadores,Spitzenplätze ohne Modifikatoren,,,,,,,,,,,,,ルール変更なしでトップ,,,상위권(모디파이어 제외),,,,,,,,
LEADERBOARDS_MIXED_LEADERBOARDS_TITLE,,Top mixed,Podium (tous),Mejores combinados,Spitzenplätze gemischt,,,,,,,,,,,,,混合トップ,,,상위권(전체),,,,,,,,
EMPTY_FAVORITES_LIST_INFO,,"No songs have been favorited, press the heart icon next to a song's name to add it to favorites.","Aucun morceau favori, appuyez sur l'icône de cœur à côté du titre d'un morceau pour l'ajouter à vos favoris.",No has marcado ninguna canción como favorita. Presiona el ícono de corazón junto al nombre de una canción para añadirla a las favoritas.,"Keine Songs wurden zu den Favoriten hinzugefügt. Drücke auf das Herzsymbol neben dem Titel eines Songs, um ihn zu den Favoriten hinzuzufügen.",,,,,,,,,,,,,お気に入りの曲がありません。曲名の隣のハートアイコンを押すと、曲がお気に入りに入ります。,,,즐겨찾기한 곡이 없습니다. 곡명 옆의 하트 모양 아이콘을 눌러 즐겨찾기에 추가하세요.,,,,,,,,
EULA_TITLE,,End User License Agreement,Contrat de licence d'utilisateur final,Acuerdo de Licencia de Usuario Final,Endnutzer-Lizenzvereinbarung,,,,,,,,,,,,,エンドユーザー用使用許諾契約,,,최종 사용자 라이선스 계약,,,,,,,,
PRIVACY_POLICY_TITLE,,Privacy Policy,Politique de confidentialité,Política de Privacidad,Datenschutzrichtlinie,,,,,,,,,,,,,プライバシーポリシー,,,개인정보 취급방침,,,,,,,,
ONLINE_SERVICES_TITLE,,Online Services,Services en ligne,Servicios en Línea,Onlinedienste,,,,,,,,,,,,,オンラインサービス,,,온라인 서비스,,,,,,,,
DISABLE_ONLINE_SERVICES_WARNING_INFO,,You are about to disable online services. Functionality like leaderboards will stop working. All your personal data stored on our servers including your scores in leaderboards will be removed. Do you really want to disable online services?,"Vous êtes sur le point de désactiver les services en ligne. Certaines fonctionnalités, telles que les classements, ne fonctionneront plus. Toutes vos données personnelles enregistrées sur nos serveurs, y compris vos scores, seront supprimées. Continuer ?","Estás a punto de desactivar los servicios en línea. Algunas funcionalidades, como las tablas de puntuaciones, dejarán de funcionar. Todos tus datos personales almacenados en nuestros servidores, incluyendo tus puntuaciones en las tablas de puntuaciones, serán eliminados. ¿Realmente deseas desactivar los servicios en línea?","Du deaktivierst gerade die Onlinedienste. Funktionen wie die Bestenlisten werden nicht mehr funktionieren. Alle persönlichen Daten, die auf unseren Servern gespeichert sind, einschließlich deiner Punkte in den Bestenlisten, werden entfernt. Möchtest du die Onlinedienste wirklich deaktivieren?",,,,,,,,,,,,,オンラインサービスを無効化しようとしています。ランキングなどの機能が使えなくなります。ランキングの自分のスコアを含む、サーバーに保存されているすべての個人データが削除されます。オンラインサービスを無効化してもよろしいですか？,,,"온라인 서비스를 사용을 중단하면, 리더보드와 같은 기능을 이용할 수 없게 되며, 리더보드 상 플레이어의 점수 등 플레이어의 모든 개인 정보가 삭제됩니다. 온라인 서비스 사용을 중단할까요?",,,,,,,,
TITLE_WARNING,,Warning,Avertissement,Advertencia,Achtung,,,,,,,,,,,,,警告,,,경고,,,,,,,,
BUTTON_DISABLE_ONLINE_SERVICES,,Disable online services,Désactiver les services en ligne,Desactivar servicios en línea,Onlinedienste deaktivieren,,,,,,,,,,,,,オンラインサービス無効化,,,온라인 서비스 사용 중단,,,,,,,,
BUTTON_ENABLE,,Enable,Activer,Activar,Aktivieren,,,,,,,,,,,,,有効化,,,사용,,,,,,,,
BUTTON_DONT_ENABLE,,Don't enable,Ne pas activer,No activar,Nicht aktivieren,,,,,,,,,,,,,有効化しない,,,사용 안 함,,,,,,,,
SETTINGS_ONLINE_SERVICES_INFO,,Online services are required for leaderboards functionality.,Les services en ligne sont nécessaires au bon fonctionnement des classements.,Los servicios en línea son necesarios para la funcionalidad de las tablas de puntuaciones.,Onlinedienste sind für Bestenlisten-Funktionen erforderlich.,,,,,,,,,,,,,オンラインサービスは、ランキング機能の使用に必要となります。,,,순위표 기능을 사용하려면 온라인 서비스가 필수입니다.,,,,,,,,
SETTINGS_ONLINE_SERVICES_TOGGLE,,Online services enabled,Services en ligne activés,Servicios en línea activados,Onlinedienste aktivierst,,,,,,,,,,,,,オンラインサービスが有効化されました,,,온라인 서비스 사용함,,,,,,,,
ONLINE_SERVICES_OPTIN_INFO,,Before you start using our leaderboards you need to enable our online services. This is required to show the best players and to submit your scores. Do you want to enable online services?,"Pour utiliser nos classements, vous devez activer nos services en ligne. Cela vous permettra de consulter les meilleurs scores et de nous envoyer les vôtres. Voulez-vous les activer ?","Antes de comenzar a usar nuestras tablas de puntuaciones, necesitas activar nuestros servicios en línea. Esto es necesario para mostrar a los mejores jugadores y para enviar tus puntuaciones. ¿Deseas activar los servicios en línea?","Bevor du unsere Bestenlisten verwenden kannst, musst du unsere Onlinedienste deaktivieren. Dies ist erforderlich, um die besten Spieler anzuzeigen und deine Punkte zu übertragen. Möchtest du die Onlinedienste aktivieren?",,,,,,,,,,,,,ランキングを使用するには、オンラインサービスを有効化してください。ランキングではベストプレイヤーを表示したり、自分のスコアを送信できます。オンラインサービスを有効化しますか？,,,순위표 > 리더보드,,,,,,,,
EMPTY_CUSTOM_SONG_LIST_INFO,,You don't have any custom songs.,Vous n'avez aucun morceau personnalisé.,No tienes ninguna canción personalizada.,Du hast keine benutzerdefinierten Songs.,,,,,,,,,,,,,カスタム曲はありません。,,,커스텀 곡이 없습니다.,,,,,,,,
MENU_CONTROLLERS_TRANSFORM,,Controllers,Manettes,Controles,Controller,,,,,,,,,,,,,コントローラー,,,컨트롤러,,,,,,,,
BUTTON_RESET,,Reset,Réinitialiser,Reiniciar,Zurücksetzen,,,,,,,,,,,,,リセット,,,초기화,,,,,,,,
TITLE_POSITION_X,,Position X,Position X,Posición X,Position X,,,,,,,,,,,,,X位置,,,X 위치,,,,,,,,
TITLE_POSITION_Y,,Position Y,Position Y,Posición Y,Position Y,,,,,,,,,,,,,Y位置,,,Y 위치,,,,,,,,
TITLE_POSITION_Z,,Position Z,Position Z,Posición Z,Position Z,,,,,,,,,,,,,Z位置,,,Z 위치,,,,,,,,
TITLE_ROTATION_X,,Rotation X,Rotation X,Rotación X,Rotation X,,,,,,,,,,,,,X回転,,,X 회전,,,,,,,,
TITLE_ROTATION_Y,,Rotation Y,Rotation Y,Rotación Y,Rotation Y,,,,,,,,,,,,,Y回転,,,Y 회전,,,,,,,,
TITLE_ROTATION_Z,,Rotation Z,Rotation Z,Rotación Z,Rotation Z,,,,,,,,,,,,,Z回転,,,Z 회전,,,,,,,,
MENU_OCULUS_MRC,,MRC,MRC,MRC,MRC,,,,,,,,,,,,,MRC,,,MRC(혼합현실 캡처),,,,,,,,
SETTINGS_OCULUS_MRC,,MRC (Beta),MRC (Bêta),MRC (Beta),MRC (Beta),,,,,,,,,,,,,MRC（ベータ）,,,MRC (베타),,,,,,,,
SETTINGS_OCULUS_MRC_INFO,,"Mixed Reality Capture uses an external camera, such as a webcam, to capture real-world images, against a green-screen, and combine them with a scene generated by a mixed reality supported VR app to create a single blended scene.

For more information search for Mixed Reality Capture Setup Guide in Oculus Documentation.","La capture en réalité mixte utilise une caméra externe (une webcam, par exemple) pour capturer des images réelles, sur fond vert, et les associer à une scène générée par une application de RV supportant la réalité mixte pour ne faire qu'une image. Vous trouverez plus d'informations dans le Guide d'installation de capture en réalité mixte dans la documentation d'Oculus.","La Captura de Realidad Mixta usa una cámara externa, como una cámara web, para capturar imágenes del mundo real, contra una pantalla verde, y las combina con una escena generada por una aplicación de RV de realidad mixta para crear una sola escena combinada.

Para más información, busca la Guía de Configuración de Captura de Realidad Mixta en la Documentación de Oculus.","Die Mixed-Reality-Aufnahme verwendet eine externe Kamera, z. B. eine Webcam, um Bilder aus der realen Welt vor einem Greenscreen aufzunehmen und sie mit einer Szene zu kombinieren, die von einer Mixed-Reality-unterstützten VR-App generiert wurde, um so eine einzelne gemischte Szene zu erstellen.

Weite Informationen findest du im Leitfaden zur Einrichtung von Mixed Reality in der Oculus-Dokumentation.",,,,,,,,,,,,,"ミックスドリアリティキャプチャはウェブカメラなどの外付けカメラを使用して、グリーンバック上で現実の画像をキャプチャして、ミックスドリアリティに対応するVRアプリで生成されたシーンと組み合わせることで、融合したシーンを作成します。

詳細は、Oculusドキュメントのミックスドリアリティキャプチャのセットアップガイドをご覧ください。",,,"혼합 현실 캡처는 웹캠 등의 외부 카메라를 사용하여 그린 스크린을 배경으로 실제 이미지를 캡처한 후, 혼합 현실을 지원하는 VR 앱으로 생성한 장면과 섞어 하나의 혼합 장면을 만듭니다.

자세한 정보는 Oculus Documentation의 혼합 현실 캡처 설정 가이드(Mixed Reality Capture Setup Guide)를 검색해주십시오.",,,,,,,,
SETTINGS_OCULUS_MRC_WARNING,,"Mixed Reality Capture is in development and can cause bad performance. We are continuing to improve the experience, and the set up flow may change.",La fonctionnalité de capture en réalité mixte est en développement et peut entraîner des chutes de performances. Nous travaillons à son amélioration et la méthode de configuration est sujette à modification.,"La Captura de Realidad Mixta está en desarrollo y puede causar un mal rendimiento. Continuamente estamos trabajando para mejorar la experiencia, y el proceso de configuración puede cambiar.","Die Mixed-Reality-Aufnahme befindet sich in der Entwicklung und kann zu einer schlechten Performance führen. Wir arbeiten daran, die Erfahrung zu verbessern, und der Einrichtungsablauf kann sich ändern.",,,,,,,,,,,,,ミックスドリアリティキャプチャは開発中であり、パフォーマンス低下の原因となることがあります。改善、向上を継続していますので、セットアップの流れが変更されることがあります。,,,혼합 현실 캡처는 개발 단계에 있기 때문에 성능에 부정적인 영향을 끼칠 수 있습니다. 현재 지속해서 사용자 경험을 개선하고 있기 때문에 설정 과정이 변할 수 있습니다.,,,,,,,,
PLAYER_SETTINGS_SABER_TRAIL_INTENSITY,,Trail Intensity,Intensité des traînées,Intensidad de Rastreo,Spurstreifen-Intensität,,,,,,,,,,,,,軌跡の彩度,,,검기 강도,,,,,,,,
PLAYING_CAMPAIGN_PRESENCE,,Playing Campaign,Joue à la campagne,Jugando Campaña,Spielen der Kampagne,,,,,,,,,,,,,キャンペーンプレイ中,,,캠페인 플레이 중,,,,,,,,
PLAYING_TUTORIAL_PRESENCE,,Playing Tutorial,Joue au didacticiel,Jugando Tutorial,Spielen des Tutorials,,,,,,,,,,,,,チュートリアルプレイ中,,,튜토리얼 플레이 중,,,,,,,,
BROWSING_MENUS_PRESENCE,,Browsing Menus,Dans les menus,Explorando Menúes,Durchblättern der Menüs,,,,,,,,,,,,,メニュー閲覧中,,,메뉴 둘러보는 중,,,,,,,,
LEADERBOARDS_CURRENT_MODIFIERS_ONLY_TITLE,,Top (only with current modifiers),Podium (uniquement avec les modificateurs actuels),Mejores (solamente con modificadores actuales),Spitzenplätze (nur mit aktuellen Modifikatoren),,,,,,,,,,,,,トップ（現在のルール変更ありで）,,,상위권(현 모디파이어 기준),,,,,,,,
LABEL_SERVER_NAME,,Server Name,Nom de serveur,Nombre del servidor,Servername,,,,,,,,,,,,,サーバー名,,,서버 이름,,,,,,,,
LABEL_PLAYER_COUNT,,Players,Joueurs,Jugadores,Spieler,,,,,,,,,,,,,プレイヤー,,,플레이어,,,,,,,,
BUTTON_SERVER_FILTER,,Filter,Filtrer,Filtro,Filter,,,,,,,,,,,,,フィルター,,,필터,,,,,,,,
BUTTON_CREATE_SERVER,,Create,Créer,Crear,Erstellen,,,,,,,,,,,,,作成,,,생성,,,,,,,,
BUTTON_INTERNET_SERVER_ORIGIN,,Internet,Internet,Internet,Internet,,,,,,,,,,,,,インターネット,,,인터넷,,,,,,,,
BUTTON_LOCAL_SERVER_ORIGIN,,Local,Local,Local,Lokal,,,,,,,,,,,,,ローカル,,,로컬,,,,,,,,
LABEL_SERVER,,Server,Serveur,Servidor,Server,,,,,,,,,,,,,サーバー,,,서버,,,,,,,,
LABEL_PASSWORD_PROTECTED,,Password Protected,Protégé par un mot de passe,Protegido con contraseña,Passwortgeschützt,,,,,,,,,,,,,パスワード保護,,,비밀번호 보호됨,,,,,,,,
LABEL_PASSWORD,,Password,Mot de passe,Contraseña,Passwort,,,,,,,,,,,,,パスワード,,,비밀번호,,,,,,,,
LABEL_MAX_NUMBER_OF_PLAYERS,,Max Number of Players,Nombre de joueurs max.,Número máximo de jugadores,Max. Spieleranzahl,,,,,,,,,,,,,最大プレイヤー数,,,최대 플레이어 수,,,,,,,,
LABEL_ALLOWED_DIFFICULTY,,Allowed Difficulty,Difficulté autorisée,Dificultad permitida,Erlaubter Schwierigkeitsgrad,,,,,,,,,,,,,許可する難易度,,,허용된 난이도,,,,,,,,
LABEL_ALLOWED_MUSIC_PACKS,,Allowed Music Packs,Packs de musique autorisés,Paquetes musicales permitidos,Erlaubte Musikpakete,,,,,,,,,,,,,許可する音楽パック,,,허용된 뮤직 팩,,,,,,,,
LABEL_DISCOVERABLE_ON_INTERNET,,Discoverable on Internet,À découvrir sur Internet,Descubierto en internet,Im Internet entdeckbar,,,,,,,,,,,,,インターネットに公開,,,인터넷 발견품,,,,,,,,
BUTTON_MULTIPLAYER,,Online,En ligne,En línea,Online,,,,,,,,,,,,,オンライン,,,온라인,,,,,,,,
AVATAR_CLOTHES,,Clothes,Vêtements,Atuendos,Kleidung,,,,,,,,,,,,,服装,,,의상,,,,,,,,
ALL_LEVEL_PACKS,,All,Tout,Todos,Alle,,,,,,,,,,,,,すべて,,,전체,,,,,,,,
BUILT_IN_LEVEL_PACKS,,Built-in,Intégrés,Integrado,Integriert,,,,,,,,,,,,,組込み,,,기본,,,,,,,,
BEATMAP_DIFFICULTY_ALL,,All,Tout,Todo,Alle,,,,,,,,,,,,,すべて,,,전체,,,,,,,,
BUTTON_EDIT_AVATAR,,Avatar,Avatar,Avatar,Avatar,,,,,,,,,,,,,アバター,,,아바타,,,,,,,,
LOBBY_START_GAME,,Start,Commencer,Comenzar,Start,,,,,,,,,,,,,スタート,,,시작,,,,,,,,
LOBBY_SPECTATOR,,Spectator,Spectateur,Espectador,Zuschauer,,,,,,,,,,,,,観客,,,관전,,,,,,,,
LOBBY_READY,,Ready,Prêt,Listo,Bereit,,,,,,,,,,,,,準備,,,준비,,,,,,,,
LOBBY_SELECT_LEVEL,,Select Level,Choisir un niveau,Seleccionar nivel,Level auswählen,,,,,,,,,,,,,ステージを選択,,,레벨 선택,,,,,,,,
LOBBY_SET_MODIFIERS,,Set Modifiers,Définir des modificateurs,Establecer modificadores,Modifikatoren einstellen,,,,,,,,,,,,,ルール変更を設定,,,모디파이어 설정,,,,,,,,
LOBBY_INVITE_PLAYERS,,Invite Players,Inviter des joueurs,Invitar jugadores,Spieler einladen,,,,,,,,,,,,,プレイヤーを招待する,,,플레이어 초대,,,,,,,,
LABEL_CANT_INVITE_PLAYERS_NOT_LOBBY_OWNER,,Only the host can invite players for this server,Seul l'hôte peut inviter des joueurs sur ce serveur,Solo el host puede invitar jugadores en este servidor,Nur der Host kann Spieler für diesen Server einladen,,,,,,,,,,,,,このサーバーにプレイヤーを招待できるのはホストだけです,,,호스트만 이 서버로 플레이어를 초대할 수 있습니다,,,,,,,,
LABEL_CANT_INVITE_PLAYERS_AT_MAX_SIZE,,Server is full,Le serveur est plein,El Servidor está lleno,Server ist voll,,,,,,,,,,,,,サーバー限度に達しています,,,서버 꽉 참,,,,,,,,
LABEL_FILTER_BY_DIFFICULTY,,Filter By Difficulty,Filtrer par difficulté,Filtrar por dificultad,Nach Schwierigkeitsgrad filtern,,,,,,,,,,,,,難易度でフィルター,,,난이도로 필터링,,,,,,,,
LABEL_DIFFICULTY,,Difficulty,Difficulté,Dificultad,Schwierigkeitsgrad,,,,,,,,,,,,,難易度,,,난이도,,,,,,,,
LABEL_FILTER_BY_MUSIC_PACKS,,Filter By Music Packs,Filtrer par pack de musique,Filtrar por paquetes musicales,Nach Musikpaketen filtern,,,,,,,,,,,,,音楽パックでフィルター,,,뮤직 팩으로 필터링,,,,,,,,
LABEL_MUSIC_PACKS,,Music Packs,Packs de musique,Paquetes musicales,Musikpakete,,,,,,,,,,,,,音楽パック,,,뮤직 팩,,,,,,,,
LABEL_FILTER_SHOW_FULL,,Show Full,Tout voir,Mostrar completos,Vollständig anzeigen,,,,,,,,,,,,,全て表示,,,전체 보기,,,,,,,,
LABEL_FILTER_SHOW_PROTECTED,,Show Protected,Voir le contenu protégé,Mostrar protegidos,Geschützt anzeigen,,,,,,,,,,,,,保護コンテンツを表示,,,보호 콘텐츠 보기,,,,,,,,
LABEL_CONNECTION_ERROR,,Connection Error,Erreur de connexion,Error de conexión,Verbindungsfehler,,,,,,,,,,,,,接続エラー,,,연결 오류,,,,,,,,
CONNECTION_FAILED_SERVER_DOES_NOT_EXIST,,Could not connect to the server.<br>Server does not exist,Échec de la connexion au serveur.<br>Le serveur n'existe pas.,No se pudo conectar al servidor.<br>El servidor no existe,Keine Verbindung zum Server.<br>Server existiert nicht.,,,,,,,,,,,,,サーバーに接続できません。<br>サーバーが存在しません,,,서버에 연결할 수 없습니다.<br>서버가 존재하지 않습니다,,,,,,,,
CONNECTION_FAILED_SERVER_AT_CAPACITY,,Could not connect to the server.<br>Server is full,Échec de la connexion au serveur.<br>Le serveur est plein.,No se pudo conectar al servidor.<br>El servidor está lleno,Keine Verbindung zum Server.<br>Server ist voll.,,,,,,,,,,,,,サーバーに接続できません。<br>サーバー限度に達しています,,,서버에 연결할 수 없습니다.<br>서버가 꽉 찼습니다,,,,,,,,
CONNECTION_FAILED_VERSION_MISMATCH,,Could not connect to the server.<br>Update your game and try again,Échec de la connexion au serveur.<br>Mettez le jeu à jour et réessayez.,No se pudo conectar al servidor.<br>Actualiza el juego e inténtalo de nuevo,Keine Verbindung zum Server.<br>Aktualisiere dein Spiel und versuche es erneut.,,,,,,,,,,,,,サーバーに接続できません。<br>ゲームをアップデートして再実行してください,,,서버에 연결할 수 없습니다.<br>게임을 업데이트하고 다시 시도하세요,,,,,,,,
CONNECTION_FAILED_INVALID_PASSWORD,,Could not connect to the server.<br>Invalid password,Échec de la connexion au serveur.<br>Mot de passe invalide.,No se pudo conectar al servidor.<br>Contraseña no válida,Keine Verbindung zum Server.<br>Ungültiges Passwort.,,,,,,,,,,,,,サーバーに接続できません。<br>パスワードが無効です,,,서버에 연결할 수 없습니다.<br>잘못된 비밀번호입니다,,,,,,,,
CONNECTION_FAILED_NETWORK_NOT_CONNECTED,,Could not connect to the network.<br>Check your internet connection and try again,Échec de la connexion au réseau.<br>Vérifiez votre connexion Internet et réessayez.,No se pudo conectar a la red.<br>Revisa tu conexión de internet e inténtalo de nuevo,Keine Verbindung zum Netzwerk.<br>Prüfe deine Internetverbindung und versuche es erneut.,,,,,,,,,,,,,ネットワークに接続できません。<br>インターネットへの接続を確認して再実行してください,,,네트워크에 연결할 수 없습니다.<br>인터넷 연결을 확인하고 다시 시도하세요,,,,,,,,
CONNECTION_FAILED_TIMEOUT,,Could not connect to the server.<br>Check your internet connection and try again,Échec de la connexion au serveur.<br>Vérifiez votre connexion Internet et réessayez.,No se pudo conectar al servidor.<br>Revisa tu conexión de internet e inténtalo de nuevo.,Keine Verbindung zum Server.<br>Prüfe deine Internetverbindung und versuche es erneut.,,,,,,,,,,,,,サーバーに接続できませんでした。<br>インターネット接続を確認してもう一度お試しください,,,네트워크에 연결할 수 없습니다.<br>인터넷 연결을 확인하고 다시 시도하세요,,,,,,,,
CONNECTION_FAILED_FAILED_TO_FIND_MATCH,,Could not find a match with the provided settings.<br>Please try again.,Impossible de trouver une partie avec les paramètres actuels.<br>Veuillez réessayer.,No se pudo encontrar una coincidencia con los ajustes proporcionados.<br>Inténtalo de nuevo.,Keine Übereinstimmung mit den angegebenen Einstellungen gefunden.<br>Bitte probiere es erneut.,,,,,,,,,,,,,お探しの条件に一致するマッチがありませんでした。<br>もう一度お試しください。,,,주어진 설정에 맞는 매치를 찾지 못했습니다.<br>다시 시도하세요.,,,,,,,,
LABEL_INVALID_PASSWORD,,Invalid Password,Mot de passe incorrect,Contraseña no válida,Ungültiges Passwort,,,,,,,,,,,,,無効なパスワード,,,잘못된 비밀번호,,,,,,,,
TEXT_INVALID_PASSWORD,,You password was incorrect,Votre mot de passe est incorrect,Tu contraseña es incorrecta,Dein Passwort war nicht richtig,,,,,,,,,,,,,パスワードが正しくありません,,,비밀번호가 잘못되었습니다,,,,,,,,
PLAYER_NAME,,Player Name,Nom du joueur,Jugador,Spielername,,,,,,,,,,,,,プレイヤー名,,,플레이어 이름,,,,,,,,
SUGGESTED_BEATMAP,,Suggested Beatmap,Beatmap recommandée,Beatmap sugerido,Vorgeschlagene Beatmap,,,,,,,,,,,,,提案されたビートマップ,,,추천 비트맵,,,,,,,,
SUGGESTED_MODIFIERS,,Suggested Modifiers,Modificateurs recommandés,Mod. sugeridos,Vorgeschlagene Modifikatoren,,,,,,,,,,,,,提案されたルール変更,,,추천 모디파이어,,,,,,,,
MUSIC_PACK,,Music Pack,Pack de musique,Paquete musical,Musikpaket,,,,,,,,,,,,,音楽パック,,,뮤직 팩,,,,,,,,
DIFFICULTY,,Difficulty,Difficulté,Dificultad,Schwierigkeitsgrad,,,,,,,,,,,,,難易度,,,난이도,,,,,,,,
BUTTON_JOIN_SERVER,,Join,Rejoindre,Unirse,Beitreten,,,,,,,,,,,,,参加,,,참가,,,,,,,,
LEVEL_END_ACTION_QUIT,,Quit,Quitter,Salir,Verlassen,,,,,,,,,,,,,終了,,,나가기,,,,,,,,
LEVEL_END_ACTION_RESTART,,Restart,Recommencer,Reiniciar,Neu starten,,,,,,,,,,,,,再スタート,,,재시작,,,,,,,,
LEVEL_END_ACTION_MULTIPLAYER_INACTIVE,,Multiplayer Inactive,Multijoueur inactif,Multijugador inactivo,Mehrspieler inaktiv,,,,,,,,,,,,,マルチプレイヤーが無効,,,멀티플레이어 비활성,,,,,,,,
LEVEL_END_ACTION_LOST_CONNECTION,,Connection Lost,Connexion perdue,Se perdió la conexión,Verbindung unterbrochen,,,,,,,,,,,,,接続が切断,,,연결 끊김,,,,,,,,
LEVEL_END_ACTION_STARTUP_FAILED,,Startup Failed,Échec du démarrage,Arranque fallido,Starten fehlgeschlagen,,,,,,,,,,,,,スタートアップ失敗,,,시작 실패,,,,,,,,
LEVEL_END_ACTION_HOST_ENDED_LEVEL,,Host Ended Level,L'hôte a mis fin au niveau,El host finalizó el nivel,Host hat Level beendet,,,,,,,,,,,,,ホストがステージを終了,,,호스트 종료 레벨,,,,,,,,
TITLE_QUIT_LOBBY_CONFIRMATION,,Quit Lobby,Quitter le salon,Salir del lobby,Lobby verlassen,,,,,,,,,,,,,ロビーを終了,,,로비 나가기,,,,,,,,
TEXT_QUIT_LOBBY_CONFIRMATION,,Are you sure you want to quit lobby?,Voulez-vous vraiment quitter le salon ?,¿Seguro que quieres salir del lobby?,Lobby wirklich verlassen?,,,,,,,,,,,,,本当にロビーを終了しますか？,,,로비를 나가시겠습니까?,,,,,,,,
NO_BEATMAP_SELECTED,,No Beatmap Selected,Aucune Beatmap sélectionnée,No hay Beatmap seleccionado,Keine Beatmap ausgewählt,,,,,,,,,,,,,ビートマップ選択なし,,,선택된 비트맵 없음,,,,,,,,
NO_MODIFIERS,,No Modifiers,Aucun modificateur,Sin modificadores,Keine Modifikatoren,,,,,,,,,,,,,ルール変更なし,,,모디파이어 없음,,,,,,,,
LABEL_OST_AND_EXTRA,,OST & Extras,BO & suppléments,Banda sonora original y extras,OST & Extras,,,,,,,,,,,,,オリジナルサウンドトラック＆エキストラ,,,OST 및 기타,,,,,,,,
LABEL_CUSTOM_LEVELS,,Custom Levels,Niveaux personnalisés,Niveles personalizados,Benutzerdefinierte Level,,,,,,,,,,,,,カスタムステージ,,,커스텀 레벨,,,,,,,,
LABEL_FAVORITES,,Favorites,Favoris,Favoritos,Favoriten,,,,,,,,,,,,,お気に入り,,,즐겨찾기,,,,,,,,
LABEL_ALL_SONGS,,All Songs,Tous les morceaux,Todas las canciones,Alle Songs,,,,,,,,,,,,,すべての曲,,,모든 곡,,,,,,,,
TITLE_FILTER_PARAMETERS,,Filter Parameters,Filtrer les paramètres,Filtrar parámetros,Parameter filtern,,,,,,,,,,,,,フィルターのパラメーター,,,필터 종류,,,,,,,,
LABEL_NO_FILTERS,,No Filters,Aucun filtre,Sin filtros,Keine Filter,,,,,,,,,,,,,フィルターなし,,,필터 없음,,,,,,,,
LABEL_FILTER_BY_CHARACTERISTIC,,Filter By Characteristics,Filtrer par caractéristiques,Filtrar por características,Nach Eigenschaft filtern,,,,,,,,,,,,,特徴でフィルター,,,특징으로 필터링,,,,,,,,
LABEL_CHARACTERISTIC,,Characteristics,Caractéristiques,Características,Eigenschaften,,,,,,,,,,,,,特徴,,,특징,,,,,,,,
LABEL_CLEAR,,Clear,Effacer,Borrar,Löschen,,,,,,,,,,,,,削除,,,지우기,,,,,,,,
MP_WAITING_FOR_OTHER_PLAYERS,,Waiting for Other Players,En attente des autres joueurs,Esperando a otros jugadores,Warte auf andere Spieler,,,,,,,,,,,,,他のプレイヤーを待っています,,,다른 플레이어 기다리는 중,,,,,,,,
